año,empleo,desempleo,actividad,absentismo_enf_acc,absentismo_total,parados_corta_dur,parados_larga_dur,horas_trabajadas,horas_hab_trabajadas,coste_laboral,empleo_yoy,desempleo_yoy,actividad_yoy,absentismo_enf_acc_yoy,absentismo_total_yoy,parados_corta_dur_yoy,parados_larga_dur_yoy,horas_trabajadas_yoy,horas_hab_trabajadas_yoy
2009,61.93,17.09,74.69,"0,61%",2.29,"69,14%","30,86%",34.7,"38,6",19.05,,,,,,,,,
2010,60.71,19.36,75.28,"0,59%",2.23,"54,03%","45,97%",34.525,"38,5",19.15,"-1,97%","13,28%","0,79%","-3,75%",-2.6,"-21,85%","48,96%","-0,50%","-0,26%"
2011,59.72,21.22,75.8,"0,56%",2.08,"48,18%","51,82%",34.4,"38,3",19.6,"-1,63%","9,61%","0,69%","-4,80%",-6.77,"-10,83%","12,73%","-0,36%","-0,52%"
2012,57.26,24.96,76.31,"0,50%",2.07,"44,40%","55,60%",34.075,38,19.8,"-4,11%","17,62%","0,67%","-11,05%",-0.3,"-7,84%","7,29%","-0,94%","-0,78%"
2013,56.07,26.64,76.43,"0,50%",2.06,"38,04%","61,96%",34.05,"37,9",19.91,"-2,09%","6,73%","0,16%","0,68%",-0.6,"-14,32%","11,44%","-0,07%","-0,26%"
2014,57.24,25.29,76.61,"0,52%",1.99,"34,35%","65,65%",34.075,"37,8",19.92,"2,08%","-5,07%","0,24%","2,59%",-3.32,"-9,70%","5,96%","0,07%","-0,26%"
2015,59.28,22.98,76.97,"0,55%",1.95,"34,62%","65,38%",34.075,"37,7",19.9,"3,58%","-9,13%","0,47%","5,96%",-1.92,"0,78%","-0,41%","0,00%","-0,26%"
2016,61.12,20.79,77.16,"0,58%",2.0,"37,75%","62,25%",34.0,"37,6",19.83,"3,10%","-9,53%","0,25%","6,36%",2.46,"9,04%","-4,79%","-0,22%","-0,27%"
2017,63.05,18.2,77.08,"0,62%",2.1,"41,73%","58,27%",33.65,"37,6",19.83,"3,16%","-12,46%","-0,10%","5,97%",5.03,"10,56%","-6,40%","-1,03%","0,00%"
2018,64.67,16.16,77.14,"0,66%",2.11,"45,10%","54,90%",33.875,"37,6",20.05,"2,57%","-11,21%","0,08%","6,50%",0.71,"8,06%","-5,77%","0,67%","0,00%"
2019,65.86,15.0,77.48,"0,69%",2.2,"49,46%","50,54%",33.5,"37,4",20.5,"1,83%","-7,18%","0,44%","5,13%",3.89,"9,67%","-7,94%","-1,11%","-0,53%"
2020,63.48,16.75,76.25,"0,93%",4.03,"57,47%","42,53%",30.35,"37,4",21.62,"-3,61%","11,67%","-1,59%","35,35%",83.49,"16,21%","-15,86%","-9,40%","0,00%"
2021,65.44,16.01,77.91,"1,00%",2.95,"48,68%","51,32%",31.775,"37,4",21.49,"3,09%","-4,42%","2,18%","7,15%",-26.69,"-15,30%","20,67%","4,70%","0,00%"
2022,67.66,13.76,78.46,"1,05%",2.9,"50,89%","49,11%",32.125,"37,7",21.99,"3,40%","-14,05%","0,71%","5,08%",-1.96,"4,53%","-4,29%","1,10%","0,80%"
2023,69.07,12.88,79.28,"1,04%",2.88,"55,09%","44,91%",32.025,"37,7",23.21,"2,08%","-6,40%","1,05%","-0,87%",-0.48,"8,27%","-8,57%","-0,31%","0,00%"
2024,70.04,11.91,79.51,"1,13%",3.02,"57,01%","42,99%",31.875,"37,5",24.13,"1,41%","-7,53%","0,29%","8,93%",4.9,"3,47%","-4,26%","-0,47%","-0,53%"
2025,71.22,11.1,80.11,"1,16%",3.04,"58,93%","41,07%",31.725,"37,5",25.03,"1,68%","-6,80%","0,75%","2,60%",0.53,"3,38%","-4,48%","-0,47%","0,00%"
