pais,año,empleo,desempleo,actividad,absentismo,parados_larga_dur,horas_hab_trabajadas,poblacion_neet,empleo_yoy,desempleo_yoy,actividad_yoy,absentismo_yoy,parados_larga_dur_yoy,horas_hab_trab_yoy,poblacion_neet_yoy,region,region_codificada,nivel_desempleo
Austria,2009,73.4,4.1,77.5,11.88,25.8,38,10.0,,,,,,,,Norte (Estable),2,Bajo (<5%)
Austria,2010,73.9,3.8,77.7,11.7,30.5,38,9.5,"0,68%","-7,32%","0,26%","-1,47%","18,22%","-0,65%","-5,00%",Norte (Estable),2,Bajo (<5%)
Austria,2011,74.2,3.6,77.8,11.55,31.3,38,8.9,"0,41%","-5,26%","0,13%","-1,28%","2,62%","-0,20%","-6,32%",Norte (Estable),2,Bajo (<5%)
Austria,2012,74.4,3.9,78.3,12.0,29.6,38,8.6,"0,27%","8,33%","0,64%","3,90%","-5,43%","-0,53%","-3,37%",Norte (Estable),2,Bajo (<5%)
Austria,2013,74.6,4.3,78.9,12.33,28.9,37,9.0,"0,27%","10,26%","0,77%","2,71%","-2,36%","-0,99%","4,65%",Norte (Estable),2,Bajo (<5%)
Austria,2014,74.2,4.6,78.8,11.45,32.3,37,9.7,"-0,54%","6,98%","-0,13%","-7,10%","11,76%","-1,00%","7,78%",Norte (Estable),2,Bajo (<5%)
Austria,2015,74.3,4.7,79.0,12.08,34.7,37,9.0,"0,13%","2,17%","0,25%","5,46%","7,43%","-0,34%","-7,22%",Norte (Estable),2,Bajo (<5%)
Austria,2016,74.8,5.0,79.8,11.4,38.2,37,9.3,"0,67%","6,38%","1,01%","-5,59%","10,09%","-0,20%","3,33%",Norte (Estable),2,Medio (5-10%)
Austria,2017,75.4,4.6,80.0,11.85,40.1,37,8.8,"0,80%","-8,00%","0,25%","3,95%","4,97%","-0,27%","-5,38%",Norte (Estable),2,Bajo (<5%)
Austria,2018,76.2,4.0,80.2,12.53,34.3,37,8.8,"1,06%","-13,04%","0,25%","5,70%","-14,46%","0,14%","0,00%",Norte (Estable),2,Bajo (<5%)
Austria,2019,76.8,3.7,80.5,12.0,29.6,37,8.6,"0,79%","-7,50%","0,37%","-4,19%","-13,70%","-0,14%","-2,27%",Norte (Estable),2,Bajo (<5%)
Austria,2020,74.8,4.7,79.5,15.7,28.8,37,9.9,"-2,60%","27,03%","-1,24%","30,83%","-2,70%","-0,34%","15,12%",Norte (Estable),2,Bajo (<5%)
Austria,2021,75.6,4.8,80.4,12.5,32.9,36,9.4,"1,07%","2,13%","1,13%","-20,38%","14,24%","-1,37%","-5,05%",Norte (Estable),2,Bajo (<5%)
Austria,2022,77.3,3.7,80.9,12.3,26.6,36,9.1,"2,25%","-22,92%","0,62%","-1,60%","-19,15%","-0,35%","-3,19%",Norte (Estable),2,Bajo (<5%)
Austria,2023,77.2,3.9,81.1,11.7,23.4,36,9.4,"-0,13%","5,41%","0,25%","-4,88%","-12,03%","-0,07%","3,30%",Norte (Estable),2,Bajo (<5%)
Austria,2024,77.4,4.0,81.4,13.98,22.9,36,9.2,"0,26%","2,56%","0,37%","19,44%","-2,14%","-0,56%","-2,13%",Norte (Estable),2,Bajo (<5%)
Austria,2025,77.6,4.5,82.1,14.13,24.1,36,10.3,"0,26%","12,50%","0,86%","1,07%","5,24%","0,49%","11,96%",Norte (Estable),2,Bajo (<5%)
Bélgica,2009,67.1,5.6,72.8,10.95,41.8,37,12.2,,,,,,,,Centro / Otros,1,Medio (5-10%)
Bélgica,2010,67.6,6.0,73.5,10.55,46.1,37,12.3,"0,75%","7,14%","0,96%","-3,65%","10,29%","0,41%","0,82%",Centro / Otros,1,Medio (5-10%)
