pais;año;empleo;desempleo;actividad;absentismo;parados_larga_dur;horas_hab_trabajadas;poblacion_neet;empleo_yoy;desempleo_yoy;actividad_yoy;absentismo_yoy;parados_larga_dur_yoy;horas_hab_trab_yoy;poblacion_neet_yoy
Austria;2009;73,40%;4,10%;77,50%;11,88%;25,80%;38;10,00%;;;;;;;
Austria;2010;73,90%;3,80%;77,70%;11,70%;30,50%;38;9,50%;0,68%;-7,32%;0,26%;-1,47%;18,22%;-0,65%;-5,00%
Austria;2011;74,20%;3,60%;77,80%;11,55%;31,30%;38;8,90%;0,41%;-5,26%;0,13%;-1,28%;2,62%;-0,20%;-6,32%
Austria;2012;74,40%;3,90%;78,30%;12,00%;29,60%;38;8,60%;0,27%;8,33%;0,64%;3,90%;-5,43%;-0,53%;-3,37%
Austria;2013;74,60%;4,30%;78,90%;12,33%;28,90%;37;9,00%;0,27%;10,26%;0,77%;2,71%;-2,36%;-0,99%;4,65%
Austria;2014;74,20%;4,60%;78,80%;11,45%;32,30%;37;9,70%;-0,54%;6,98%;-0,13%;-7,10%;11,76%;-1,00%;7,78%
Austria;2015;74,30%;4,70%;79,00%;12,08%;34,70%;37;9,00%;0,13%;2,17%;0,25%;5,46%;7,43%;-0,34%;-7,22%
Austria;2016;74,80%;5,00%;79,80%;11,40%;38,20%;37;9,30%;0,67%;6,38%;1,01%;-5,59%;10,09%;-0,20%;3,33%
Austria;2017;75,40%;4,60%;80,00%;11,85%;40,10%;37;8,80%;0,80%;-8,00%;0,25%;3,95%;4,97%;-0,27%;-5,38%
Austria;2018;76,20%;4,00%;80,20%;12,53%;34,30%;37;8,80%;1,06%;-13,04%;0,25%;5,70%;-14,46%;0,14%;0,00%
Austria;2019;76,80%;3,70%;80,50%;12,00%;29,60%;37;8,60%;0,79%;-7,50%;0,37%;-4,19%;-13,70%;-0,14%;-2,27%
Austria;2020;74,80%;4,70%;79,50%;15,70%;28,80%;37;9,90%;-2,60%;27,03%;-1,24%;30,83%;-2,70%;-0,34%;15,12%
Austria;2021;75,60%;4,80%;80,40%;12,50%;32,90%;36;9,40%;1,07%;2,13%;1,13%;-20,38%;14,24%;-1,37%;-5,05%
Austria;2022;77,30%;3,70%;80,90%;12,30%;26,60%;36;9,10%;2,25%;-22,92%;0,62%;-1,60%;-19,15%;-0,35%;-3,19%
Austria;2023;77,20%;3,90%;81,10%;11,70%;23,40%;36;9,40%;-0,13%;5,41%;0,25%;-4,88%;-12,03%;-0,07%;3,30%
Austria;2024;77,40%;4,00%;81,40%;13,98%;22,90%;36;9,20%;0,26%;2,56%;0,37%;19,44%;-2,14%;-0,56%;-2,13%
Austria;2025;77,60%;4,50%;82,10%;14,13%;24,10%;36;10,30%;0,26%;12,50%;0,86%;1,07%;5,24%;0,49%;11,96%
Bélgica;2009;67,10%;5,60%;72,80%;10,95%;41,80%;37;12,20%;;;;;;;
Bélgica;2010;67,60%;6,00%;73,50%;10,55%;46,10%;37;12,30%;0,75%;7,14%;0,96%;-3,65%;10,29%;0,41%;0,82%
Bélgica;2011;67,30%;5,00%;72,30%;10,60%;45,70%;37;13,10%;-0,44%;-16,67%;-1,63%;0,47%;-0,87%;-0,07%;6,50%
Bélgica;2012;67,20%;5,40%;72,60%;9,95%;41,80%;37;13,60%;-0,15%;8,00%;0,41%;-6,13%;-8,53%;0,14%;3,82%
Bélgica;2013;67,20%;6,10%;73,30%;10,30%;42,80%;37;14,10%;0,00%;12,96%;0,96%;3,52%;2,39%;0,94%;3,68%
Bélgica;2014;67,30%;6,20%;73,50%;10,18%;46,50%;37;13,30%;0,15%;1,64%;0,27%;-1,21%;8,64%;-0,40%;-5,67%
Bélgica;2015;67,20%;6,30%;73,40%;10,85%;48,10%;37;13,60%;-0,15%;1,61%;-0,14%;6,63%;3,44%;-0,07%;2,26%
Bélgica;2016;67,70%;5,70%;73,40%;10,10%;48,10%;37;12,20%;0,74%;-9,52%;0,00%;-6,91%;0,00%;-0,20%;-10,29%
